"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"RAI","Reynolds American Inc.","NYSE","Consumer Staples","Tobacco",89.6,"lrg",55.410,4145165
"RGR","Sturm Ruger & Co., Inc.","NYSE","Industrial","Defense",61.8,"sml",64.400,302386
"RNG","RingCentral Inc.","NYSE","Technology","Computer Services",50.6,"sml",20.800,507323
"ROCK","Gibraltar Steel Corp.","NASD","Industrial","Building Materials",94.2,"sml",40.650,267404
"SBUX","Starbucks Corp.","NASD","Cyclicals","Restaurants & Bars",38.1,"lrg",54.620,9351994
"SERV","ServiceMaster Global Holdings, Inc.","NYSE","Cyclicals","Special Consumer Services",54.3,"mid",36.410,894024
"SFBS","ServisFirst Bancshares, Inc.","NASD","Financial","Banks",69.3,"sml",54.160,76282
"STMP","Stamps.com, Inc.","NASD","Cyclicals","Special Consumer Services",82.0,"sml",100.550,310671
"STZ","Constellation Brands, Inc.","NYSE","Consumer Staples","Distillers & Vintners",55.3,"lrg",166.550,1466139
"SWHC","Smith & Wesson Holding Corp.","NASD","Industrial","Defense",86.0,"sml",28.450,2156456
"TAST","Carrols Restaurant Group Inc.","NASD","Cyclicals","Restaurants & Bars",13.9,"sml",11.250,1581022
"TMUS","T-Mobile US, Inc.","NASD","Technology","Mobile Telecommunications",,"",50.460,1868022
"TSS","Total System Services, Inc.","NYSE","Financial","Financial Administration",38.0,"lrg",49.680,1087803
"TTS","Tile Shop Holdings, Inc.","NASD","Cyclicals","Home Improvement Retailers",48.1,"sml",17.000,676835
"TYL","Tyler Technologies, Inc.","NYSE","Technology","Computer Services",33.2,"mid",154.350,241398
"USCR","US Concrete, Inc.","NASD","Industrial","Building Materials",18.3,"sml",48.850,295209
"VG","Vonage Holdings Corp.","NYSE","Utilities","Fixed Telecommunications",92.8,"sml",6.360,1713432
"VLO","Valero Energy Corp","NYSE","Energy","Exploration & Production",67.7,"lrg",58.140,3803447
"VLRS","Controladora Vuela Compania de Aviacion","NYSE","Industrial","Airlines",,"",19.300,651216
"VMC","Vulcan Materials Co.","NYSE","Industrial","Building Materials",76.4,"lrg",119.730,1384791
"VRSN","VeriSign, Inc.","NASD","Technology","Computer Services",42.3,"lrg",81.480,553489
"WD","Walker & Dunlop Inc.","NYSE","Financial","Mortgage Finance",83.6,"sml",27.740,191939
"WNS","WNS Holdings Ltd.","NYSE","Industrial","Business Support Services",,"",26.670,291654
"XRS","TAL Education Group","NYSE","Cyclicals","Special Consumer Services",97.1,"mid",79.460,579360
